,81.06.mp4,81.17.mp4,87.43.mp4,steps
0,101.2478021,177.3131364,175.6555399,
1,87.05025858,17.15648782,82.22347033,
2,84.31714368,3.792281912,2.813636734,
3,66.84870212,10.06369404,33.22110642,
4,16.31125021,15.540923,27.06394636,
5,37.95801952,5.857086417,6.589244704,
6,35.46117292,27.28037615,1.148961425,
7,19.04344615,18.98672422,43.53996765,
8,21.31900132,5.886184239,32.47796646,
9,22.9188186,0.835570533,38.41568356,
10,23.6618797,36.63695694,64.49634781,
11,36.78910174,9.55648641,52.88332799,1
12,69.84621889,36.63612483,53.95187072,
13,75.69533038,17.22817742,62.90300193,
14,78.57504131,21.24161688,63.38117838,
15,60.32778954,49.69198603,63.79656715,
16,52.98468141,57.40130681,64.31262198,
17,53.94503395,67.18431069,52.27904023,
18,44.69382439,70.71066452,65.21403135,
19,62.10565971,67.9716334,63.54879219,
20,76.99779776,68.04634545,65.28871804,
21,78.57885591,71.18192181,70.93037498,
22,70.68391911,69.26967217,71.49697384,2
23,62.96938623,74.16352732,74.84338978,
24,68.72087122,77.69323107,72.79251058,
25,69.54203299,72.29125506,74.12245213,
26,69.8867919,70.7268449,73.10301084,
27,66.03677376,69.74619924,70.06828412,
28,68.90140429,72.20029698,68.93038266,
29,68.86008625,68.72825753,70.34765286,
30,64.80437287,71.88985967,75.69047429,
31,64.62292678,67.42881289,72.38389983,
32,64.41801461,67.39309321,69.0025144,
33,63.37530615,68.38487355,65.9453525,3
34,66.51875944,64.21261734,60.21562546,
35,60.32488039,62.25205722,59.61569787,
36,60.41400051,61.54982192,64.80690443,
37,64.58479303,61.89550653,58.99289777,
38,65.39893364,62.6435797,58.28244947,
39,67.90158754,60.87059456,59.19827506,
40,60.31407025,60.36761587,57.54481379,
41,61.94815365,59.86200066,64.48748383,
42,55.59197713,61.08583246,61.70649227,4
43,58.67025553,65.93001209,65.57075852,
44,58.22717724,64.53341952,61.2692952,
45,61.86576479,59.8513714,63.83076984,
46,57.94474977,63.44440543,58.17935745,
47,56.67537843,57.55199083,61.01288045,
48,57.57507733,52.89057915,59.80845337,
49,64.42452822,53.93841898,60.52451813,
50,56.67414181,59.58196048,59.35841456,
51,54.42552541,59.16636002,52.01448387,
52,50.87612287,55.92188825,54.19475178,
53,49.15481529,57.15690674,51.09478477,
54,54.33199008,49.79535585,50.74428717,5
55,65.95729974,55.77177756,54.17170037,
56,62.5627015,29.53482665,49.19563802,
57,58.39244957,20.46820604,46.32754417,
58,54.21098982,23.24811173,22.38635693,
59,46.80756928,13.62268976,7.925658022,
60,51.39578872,2.509655071,5.434060116,
61,112.3388598,153.4202416,24.26131682,
62,150.2474037,151.0297451,150.6603391,6
63,157.1069415,144.384295,148.309186,
64,140.4919766,140.9109721,145.4119769,
65,135.918939,127.1559088,143.521887,
66,154.6023517,25.88113359,83.20199714,
67,152.0971109,16.26459667,16.65148909,r
68,151.7955271,18.40345871,18.03943473,
69,76.19591417,18.71241212,18.45248843,
70,7.258066998,12.41729112,11.91917145,
71,5.221051254,9.609969842,16.04095315,
72,8.20153689,11.95104971,138.4462577,
73,11.26116818,26.48186994,162.3511539,
74,9.842826525,89.25038055,154.8889959,
75,7.328474995,161.9439541,132.7201197,
76,14.72582849,145.9549987,146.8567108,
77,19.12736828,164.8526968,146.8567108,
78,63.70638279,177.3760861,100.2226724,
79,38.21830796,171.8316977,166.5609917,
80,100.6155085,152.9573191,178.1170286,
81,103.1111592,179.0036938,172.4337767,
82,106.6519524,165.3143927,169.3169027,
83,79.95003523,177.9996261,165.9368736,
84,126.7008726,177.9996261,160.034778,
85,51.10315541,177.9996261,151.4096992,
86,143.170265,168.5675964,161.8174108,
87,143.170265,178.1732073,160.5421667,
88,172.1681568,176.1369261,161.6664869,
89,177.3131364,175.6555399,166.9863245,
